"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of committers","Number of developer commits","Number of bugs"
"L6812","ODatabaseCreateDropClusterTest.java","core/src/test/java/com/orientechnologies/orient/core/db/ODatabaseCreateDropClusterTest.java","L6811","1","0","38","0","5","5","3122","0"
"L16952","OCompositeIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OCompositeIndexDefinitionTest.java","L16951","9","0","618","1","20","7","3122","0"
"L16953","OCompositeIndexSQLInsertTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OCompositeIndexSQLInsertTest.java","L16951","1","0","96","0","4","4","3122","0"
"L16954","OCompositeKeyTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OCompositeKeyTest.java","L16951","1","0","191","0","5","3","3122","0"
"L16955","OPropertyEmbeddedRidBagIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OPropertyEmbeddedRidBagIndexDefinitionTest.java","L16951","1","0","24","0","7","4","3122","0"
"L16956","OPropertyIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OPropertyIndexDefinitionTest.java","L16951","1","0","94","1","10","4","3122","0"
"L16957","OPropertyListIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OPropertyListIndexDefinitionTest.java","L16951","1","0","297","1","14","4","3122","0"
"L16958","OPropertyMapIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OPropertyMapIndexDefinitionTest.java","L16951","1","0","321","1","15","4","3122","0"
"L16959","OPropertyRidBagAbstractIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OPropertyRidBagAbstractIndexDefinitionTest.java","L16951","1","0","241","1","11","4","3122","0"
"L16960","OPropertySBTreeRidBagIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OPropertySBTreeRidBagIndexDefinitionTest.java","L16951","2","0","38","0","7","4","3122","0"
"L16961","OSimpleKeyIndexDefinitionTest.java","core/src/test/java/com/orientechnologies/orient/core/index/OSimpleKeyIndexDefinitionTest.java","L16951","1","0","117","0","14","5","3122","0"
"L16962","UniqueHashIndexForDate.java","core/src/test/java/com/orientechnologies/orient/core/index/UniqueHashIndexForDate.java","L16951","2","0","40","0","4","4","3122","0"
"L28313","ClassIteratorTest.java","core/src/test/java/com/orientechnologies/orient/core/iterator/ClassIteratorTest.java","L28312","10","0","109","0","11","6","3122","0"
"L28803","ClassTest.java","core/src/test/java/com/orientechnologies/orient/core/metadata/ClassTest.java","L28802","4","0","130","1","19","7","3122","0"
"L40016","BigDecimalQuerySupportTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/BigDecimalQuerySupportTest.java","L40015","1","0","27","0","4","4","1345","0"
"L40017","CommandSerializationUTF8Test.java","core/src/test/java/com/orientechnologies/orient/core/sql/CommandSerializationUTF8Test.java","L40015","1","0","15","1","1","1","561","0"
"L40018","OChainedIndexProxyFindBestIndexTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/OChainedIndexProxyFindBestIndexTest.java","L40015","1","0","119","1","1","1","420","0"
"L40019","OCommandExecutorSQLSelectTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLSelectTest.java","L40015","13","0","353","3","26","6","82","0"
"L40020","OCommandExecutorSQLUpdateTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/OCommandExecutorSQLUpdateTest.java","L40015","1","0","68","1","9","5","3122","0"
"L40021","OLiveQueryTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/OLiveQueryTest.java","L40015","3","0","51","0","4","4","3122","0"
"L40022","OOQueryOperatorTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/OOQueryOperatorTest.java","L40015","1","0","64","0","1","0","0","0"
"L40023","TestOrderByIndexPropDesc.java","core/src/test/java/com/orientechnologies/orient/core/sql/TestOrderByIndexPropDesc.java","L40015","4","0","54","0","8","4","3122","0"
"L40024","UpdateWithRidParameters.java","core/src/test/java/com/orientechnologies/orient/core/sql/UpdateWithRidParameters.java","L40015","1","0","36","0","3","3","1345","0"
"L53519","StorageModificationLockTest.java","core/src/test/java/com/orientechnologies/orient/core/storage/StorageModificationLockTest.java","L53518","7","0","70","0","9","4","3122","0"
"L61511","OEmbeddedRidBagTest.java","core/src/test/java/com/orientechnologies/orient/core/ridbag/OEmbeddedRidBagTest.java","L61510","1","0","35","0","5","2","1345","0"
"L87450","ReadersWriterSpinLockBenchmark.java","core/src/test/java/com/orientechnologies/common/concur/lock/ReadersWriterSpinLockBenchmark.java","L87449","5","0","56","0","8","4","3122","0"
"L87451","ReadersWriterSpinLockTst.java","core/src/test/java/com/orientechnologies/common/concur/lock/ReadersWriterSpinLockTst.java","L87449","9","0","110","0","8","4","3122","0"
"L87452","ThreadCountersHashTableMTTst.java","core/src/test/java/com/orientechnologies/common/concur/lock/ThreadCountersHashTableMTTst.java","L87449","11","0","82","0","8","4","3122","0"
"L87453","ThreadCountersHashTableTest.java","core/src/test/java/com/orientechnologies/common/concur/lock/ThreadCountersHashTableTest.java","L87449","6","0","85","0","8","4","3122","0"
"L90663","BinarySerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/BinarySerializerTest.java","L90662","1","0","39","0","8","4","3122","0"
"L90664","BooleanSerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/BooleanSerializerTest.java","L90662","1","0","48","0","8","4","3122","0"
"L90665","ByteSerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/ByteSerializerTest.java","L90662","1","0","36","0","8","4","3122","0"
"L90666","CharSerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/CharSerializerTest.java","L90662","1","0","37","0","8","4","3122","0"
"L90667","DateSerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/DateSerializerTest.java","L90662","1","0","56","0","8","4","3122","0"
"L90668","DateTimeSerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/DateTimeSerializerTest.java","L90662","1","0","37","0","8","4","3122","0"
"L90669","DecimalSerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/DecimalSerializerTest.java","L90662","1","0","38","0","3","3","561","0"
"L90670","DoubleSerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/DoubleSerializerTest.java","L90662","1","0","36","0","8","4","3122","0"
"L90671","FloatSerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/FloatSerializerTest.java","L90662","1","0","36","0","7","4","3122","0"
"L90672","IntegerSerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/IntegerSerializerTest.java","L90662","1","0","36","0","7","4","3122","0"
"L90673","LongSerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/LongSerializerTest.java","L90662","1","0","36","0","7","4","3122","0"
"L90674","ShortSerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/ShortSerializerTest.java","L90662","1","0","36","0","7","4","3122","0"
"L90675","StringSerializerTest.java","core/src/test/java/com/orientechnologies/common/serialization/types/StringSerializerTest.java","L90662","2","0","45","0","7","4","3122","0"
"L4968","OTraverseTest.java","core/src/test/java/com/orientechnologies/orient/core/command/traverse/OTraverseTest.java","L4967","4","0","114","2","13","5","3122","0"
"L5474","AbstractCompressionTest.java","core/src/test/java/com/orientechnologies/orient/core/compression/impl/AbstractCompressionTest.java","L5473","2","0","25","0","6","3","420","0"
"L5475","CompressionTest.java","core/src/test/java/com/orientechnologies/orient/core/compression/impl/CompressionTest.java","L5473","4","0","33","0","7","4","113","0"
"L5476","GZIPCompressionTest.java","core/src/test/java/com/orientechnologies/orient/core/compression/impl/GZIPCompressionTest.java","L5473","1","0","8","0","4","3","420","0"
"L5477","NothingCompressionTest.java","core/src/test/java/com/orientechnologies/orient/core/compression/impl/NothingCompressionTest.java","L5473","1","0","8","0","4","3","420","0"
"L5478","SnappyCompressionTest.java","core/src/test/java/com/orientechnologies/orient/core/compression/impl/SnappyCompressionTest.java","L5473","1","0","8","0","4","3","420","0"
"L6822","ODatabaseDocumentPoolOpenCloseTest.java","core/src/test/java/com/orientechnologies/orient/core/db/document/ODatabaseDocumentPoolOpenCloseTest.java","L6821","1","0","35","0","6","5","561","0"
"L10611","DocumentJavaSerializationTest.java","core/src/test/java/com/orientechnologies/orient/core/db/record/DocumentJavaSerializationTest.java","L10610","1","0","84","0","2","2","1345","0"
"L10612","DocumentTest.java","core/src/test/java/com/orientechnologies/orient/core/db/record/DocumentTest.java","L10610","1","0","61","0","4","2","3122","0"
"L10613","ORecordLazySetPeristentTest.java","core/src/test/java/com/orientechnologies/orient/core/db/record/ORecordLazySetPeristentTest.java","L10610","2","0","92","0","4","3","3122","0"
"L10614","ORecordLazySetTest.java","core/src/test/java/com/orientechnologies/orient/core/db/record/ORecordLazySetTest.java","L10610","7","0","139","0","18","6","561","0"
"L10615","TestLinkedDocumentInMap.java","core/src/test/java/com/orientechnologies/orient/core/db/record/TestLinkedDocumentInMap.java","L10610","1","0","44","3","8","3","561","0"
"L10616","TestTypeGuessingWorkingWithSQLAndMultiValues.java","core/src/test/java/com/orientechnologies/orient/core/db/record/TestTypeGuessingWorkingWithSQLAndMultiValues.java","L10610","3","0","50","0","1","1","3122","0"
"L10617","TrackedListTest.java","core/src/test/java/com/orientechnologies/orient/core/db/record/TrackedListTest.java","L10610","4","0","533","0","6","2","561","0"
"L10618","TrackedMapTest.java","core/src/test/java/com/orientechnologies/orient/core/db/record/TrackedMapTest.java","L10610","3","0","302","0","6","2","561","0"
"L10619","TrackedSetTest.java","core/src/test/java/com/orientechnologies/orient/core/db/record/TrackedSetTest.java","L10610","2","0","268","0","6","2","561","0"
"L15137","OConflictManagementTest.java","core/src/test/java/com/orientechnologies/orient/core/db/conflict/OConflictManagementTest.java","L15136","3","0","87","0","3","2","561","0"
"L15138","OMultithreadConflictManagementTest.java","core/src/test/java/com/orientechnologies/orient/core/db/conflict/OMultithreadConflictManagementTest.java","L15136","3","0","75","0","3","2","1345","0"
"L15178","CheckHookCallCountTest.java","core/src/test/java/com/orientechnologies/orient/core/db/hook/CheckHookCallCountTest.java","L15177","3","0","112","1","6","4","1345","0"
"L15179","HookChangeValidationTest.java","core/src/test/java/com/orientechnologies/orient/core/db/hook/HookChangeValidationTest.java","L15177","5","0","191","0","5","4","1345","0"
"L15180","HookRegisterRemoveTest.java","core/src/test/java/com/orientechnologies/orient/core/db/hook/HookRegisterRemoveTest.java","L15177","1","0","39","0","7","4","327","0"
"L29148","AlterPropertyTest.java","core/src/test/java/com/orientechnologies/orient/core/metadata/schema/AlterPropertyTest.java","L29147","1","0","38","0","9","3","1345","0"
"L29149","AlterRemoveClusterTest.java","core/src/test/java/com/orientechnologies/orient/core/metadata/schema/AlterRemoveClusterTest.java","L29147","1","0","24","0","3","3","1345","0"
"L29150","OClassImplTest.java","core/src/test/java/com/orientechnologies/orient/core/metadata/schema/OClassImplTest.java","L29147","5","0","392","1","17","5","3122","0"
"L29151","OSchemaSharedGlobalPropertyTest.java","core/src/test/java/com/orientechnologies/orient/core/metadata/schema/OSchemaSharedGlobalPropertyTest.java","L29147","2","0","49","0","3","2","17","0"
"L29152","TestMultiSuperClasses.java","core/src/test/java/com/orientechnologies/orient/core/metadata/schema/TestMultiSuperClasses.java","L29147","2","0","151","2","12","5","327","0"
"L29153","TestOTypeDetection.java","core/src/test/java/com/orientechnologies/orient/core/metadata/schema/TestOTypeDetection.java","L29147","1","0","161","0","9","3","561","0"
"L32012","ORestricetedUserCleanUpTest.java","core/src/test/java/com/orientechnologies/orient/core/metadata/security/ORestricetedUserCleanUpTest.java","L32011","1","0","52","0","4","3","3122","0"
"L34400","BytesContainerTest.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/BytesContainerTest.java","L34399","1","0","36","0","4","2","3122","0"
"L34401","CollectionOfLinkInNestedDocumentTest.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/CollectionOfLinkInNestedDocumentTest.java","L34399","1","0","90","0","4","2","1345","0"
"L34402","DirtyFinderTest.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/DirtyFinderTest.java","L34399","1","0","91","0","3","3","327","0"
"L34403","ODocumentFieldConversionTest.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/ODocumentFieldConversionTest.java","L34399","38","0","718","0","12","5","1345","0"
"L34404","ODocumentSchemafullSerializationTest.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/ODocumentSchemafullSerializationTest.java","L34399","1","0","297","1","19","4","327","0"
"L34405","ODocumentSchemalessBinarySerializationTest.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/ODocumentSchemalessBinarySerializationTest.java","L34399","8","0","692","1","35","6","3122","0"
"L34406","ODocumentSchemalessSerializationTest.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/ODocumentSchemalessSerializationTest.java","L34399","1","0","258","1","19","3","3122","0"
"L34407","ODocumentSerializationPersistentTest.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/ODocumentSerializationPersistentTest.java","L34399","2","0","81","1","19","6","3122","0"
"L34408","ODocumentTest.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/ODocumentTest.java","L34399","1","0","227","2","19","6","3122","0"
"L34409","ODocumentValidationTest.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/ODocumentValidationTest.java","L34399","5","0","438","0","20","7","3122","0"
"L34410","ORecordBytesTest.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/ORecordBytesTest.java","L34399","11","0","147","0","9","5","33","0"
"L34411","OVarIntSerializerTest.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/OVarIntSerializerTest.java","L34399","1","0","53","0","4","2","3122","0"
"L34412","SimpleSerializableClass.java","core/src/test/java/com/orientechnologies/orient/core/record/impl/SimpleSerializableClass.java","L34399","1","0","6","0","1","1","561","0"
"L37411","OStringSerializerHelperTest.java","core/src/test/java/com/orientechnologies/orient/core/serialization/serializer/OStringSerializerHelperTest.java","L37410","2","0","115","2","13","6","3122","0"
"L40041","OFilterOptimizerTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/filter/OFilterOptimizerTest.java","L40040","1","0","56","1","6","3","113","0"
"L46593","OCreateEdgeStatementTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/parser/OCreateEdgeStatementTest.java","L46592","5","0","64","0","5","1","327","0"
"L46594","OCreateVertexStatementTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/parser/OCreateVertexStatementTest.java","L46592","5","0","69","0","6","2","1345","0"
"L46595","ODeleteStatementTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/parser/ODeleteStatementTest.java","L46592","5","0","82","0","5","3","3122","0"
"L46596","OInsertStatementTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/parser/OInsertStatementTest.java","L46592","5","0","55","0","4","1","327","0"
"L46597","OSelectStatementTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/parser/OSelectStatementTest.java","L46592","7","0","265","0","30","5","327","0"
"L46598","OTraverseStatementTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/parser/OTraverseStatementTest.java","L46592","5","0","51","1","4","3","3122","0"
"L46599","OUpdateStatementTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/parser/OUpdateStatementTest.java","L46592","5","0","66","0","4","1","327","0"
"L53322","DepthFetchPlanTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/fetch/DepthFetchPlanTest.java","L53321","1","0","42","0","3","3","1345","0"
"L53345","TestQueryRecordLockUnlock.java","core/src/test/java/com/orientechnologies/orient/core/sql/lock/TestQueryRecordLockUnlock.java","L53344","19","0","171","0","7","3","3122","0"
"L53459","TestOrderBy.java","core/src/test/java/com/orientechnologies/orient/core/sql/orderby/TestOrderBy.java","L53458","1","0","63","0","8","5","3122","0"
"L53468","TestSqlEmbeddedResult.java","core/src/test/java/com/orientechnologies/orient/core/sql/select/TestSqlEmbeddedResult.java","L53467","1","0","52","0","8","3","3122","0"
"L53492","SQLUpdateMapTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/update/SQLUpdateMapTest.java","L53491","1","0","31","0","3","2","561","0"
"L53601","FileClassicTest.java","core/src/test/java/com/orientechnologies/orient/core/storage/fs/FileClassicTest.java","L53600","3","0","51","0","8","4","1345","0"
"L17520","LocalHashTableIterationTest.java","core/src/test/java/com/orientechnologies/orient/core/index/hashindex/local/LocalHashTableIterationTest.java","L17519","16","0","131","1","51","10","3122","0"
"L17521","OHashTableDirectoryTest.java","core/src/test/java/com/orientechnologies/orient/core/index/hashindex/local/OHashTableDirectoryTest.java","L17519","53","0","265","0","12","5","3122","0"
"L17522","OLocalHashTableTest.java","core/src/test/java/com/orientechnologies/orient/core/index/hashindex/local/OLocalHashTableTest.java","L17519","38","0","185","1","17","6","3122","0"
"L17523","OLocalHashTableWAL.java","core/src/test/java/com/orientechnologies/orient/core/index/hashindex/local/OLocalHashTableWAL.java","L17519","31","0","269","2","33","7","3122","0"
"L25958","ONullBucketTest.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtree/local/ONullBucketTest.java","L25957","1","0","56","0","22","6","1345","0"
"L25959","SBTreeCompositeKeyTest.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtree/local/SBTreeCompositeKeyTest.java","L25957","77","0","354","2","43","8","3122","0"
"L25960","SBTreeLeafBucketTest.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtree/local/SBTreeLeafBucketTest.java","L25957","31","0","237","2","38","8","1345","0"
"L25961","SBTreeNonLeafBucketTest.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtree/local/SBTreeNonLeafBucketTest.java","L25957","20","0","140","2","36","7","1345","0"
"L25962","SBTreeTest.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtree/local/SBTreeTest.java","L25957","87","0","558","4","41","8","3122","0"
"L25963","SBTreeTestBigValues.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtree/local/SBTreeTestBigValues.java","L25957","45","0","271","2","26","7","3122","0"
"L25964","SBTreeTestBigValuesWAL.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtree/local/SBTreeTestBigValuesWAL.java","L25957","20","0","341","3","46","7","1345","0"
"L25965","SBTreeValuePageTest.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtree/local/SBTreeValuePageTest.java","L25957","1","0","51","2","28","6","1345","0"
"L25966","SBTreeWAL.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtree/local/SBTreeWAL.java","L25957","19","0","309","5","64","9","1345","0"
"L27177","OSBTreeBonsaiLeafBucketTest.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtreebonsai/local/OSBTreeBonsaiLeafBucketTest.java","L27176","31","0","241","2","28","8","1345","0"
"L27178","OSBTreeBonsaiLocalTest.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtreebonsai/local/OSBTreeBonsaiLocalTest.java","L27176","81","0","413","0","9","6","3122","0"
"L27179","OSBTreeBonsaiNonLeafBucketTest.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtreebonsai/local/OSBTreeBonsaiNonLeafBucketTest.java","L27176","20","0","139","2","26","7","1345","0"
"L27180","OSBTreeBonsaiWAL.java","core/src/test/java/com/orientechnologies/orient/core/index/sbtreebonsai/local/OSBTreeBonsaiWAL.java","L27176","15","0","281","2","47","7","1345","0"
"L40706","SQLFunctionDifferenceTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/functions/coll/SQLFunctionDifferenceTest.java","L40705","6","0","64","0","10","5","3122","0"
"L41759","OSQLFunctionDecimalTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/functions/stat/OSQLFunctionDecimalTest.java","L41758","1","0","54","0","3","2","3122","0"
"L41760","OSQLFunctionModeTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/functions/stat/OSQLFunctionModeTest.java","L41758","4","0","56","0","3","3","1345","0"
"L41761","OSQLFunctionPercentileTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/functions/stat/OSQLFunctionPercentileTest.java","L41758","7","0","88","0","5","3","1345","0"
"L41762","OSQLFunctionUUIDTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/functions/stat/OSQLFunctionUUIDTest.java","L41758","1","0","42","0","2","2","561","0"
"L41763","OSQLFunctionVarianceTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/functions/stat/OSQLFunctionVarianceTest.java","L41758","4","0","69","0","3","3","1345","0"
"L41983","OSQLFunctionConcatTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/functions/text/OSQLFunctionConcatTest.java","L41982","2","0","42","0","6","4","3122","0"
"L42104","OFunctionSqlTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/functions/sql/OFunctionSqlTest.java","L42103","1","0","73","0","6","5","3122","0"
"L42105","OSqlUpdateContentValidationTest.java","core/src/test/java/com/orientechnologies/orient/core/sql/functions/sql/OSqlUpdateContentValidationTest.java","L42103","2","0","26","0","5","3","3122","0"
"L54116","OStorageLocalTest.java","core/src/test/java/com/orientechnologies/orient/core/storage/impl/local/OStorageLocalTest.java","L54115","5","0","95","0","23","7","3122","0"
"L12300","ORidBagAtomicUpdateTest.java","core/src/test/java/com/orientechnologies/orient/core/db/record/ridbag/sbtree/ORidBagAtomicUpdateTest.java","L12299","58","0","959","0","18","6","3122","0"
"L12301","OSBTreeCollectionManagerSharedTest.java","core/src/test/java/com/orientechnologies/orient/core/db/record/ridbag/sbtree/OSBTreeCollectionManagerSharedTest.java","L12299","16","0","143","0","16","6","3122","0"
"L12302","OSBTreeRidBagConcurrencyMultiRidBag.java","core/src/test/java/com/orientechnologies/orient/core/db/record/ridbag/sbtree/OSBTreeRidBagConcurrencyMultiRidBag.java","L12299","26","0","242","0","14","5","3122","0"
"L12303","OSBTreeRidBagConcurrencySingleRidBag.java","core/src/test/java/com/orientechnologies/orient/core/db/record/ridbag/sbtree/OSBTreeRidBagConcurrencySingleRidBag.java","L12299","18","0","177","0","14","5","3122","0"
"L17540","ConcurrentLRUListConcurrentTest.java","core/src/test/java/com/orientechnologies/orient/core/index/hashindex/local/cache/ConcurrentLRUListConcurrentTest.java","L17539","14","0","176","0","11","7","1345","0"
"L17541","ConcurrentLRUListTest.java","core/src/test/java/com/orientechnologies/orient/core/index/hashindex/local/cache/ConcurrentLRUListTest.java","L17539","1","0","8","0","2","2","561","0"
"L17542","HashLRUListTest.java","core/src/test/java/com/orientechnologies/orient/core/index/hashindex/local/cache/HashLRUListTest.java","L17539","1","0","10","0","6","5","3122","0"
"L17543","LRUListConcurrentTest.java","core/src/test/java/com/orientechnologies/orient/core/index/hashindex/local/cache/LRUListConcurrentTest.java","L17539","1","0","7","0","2","2","561","0"
"L17544","LRUListTest.java","core/src/test/java/com/orientechnologies/orient/core/index/hashindex/local/cache/LRUListTest.java","L17539","30","0","289","0","31","8","1345","0"
"L17545","ReadWriteDiskCacheTest.java","core/src/test/java/com/orientechnologies/orient/core/index/hashindex/local/cache/ReadWriteDiskCacheTest.java","L17539","80","0","681","4","55","9","1345","0"
"L17546","WOWCacheTest.java","core/src/test/java/com/orientechnologies/orient/core/index/hashindex/local/cache/WOWCacheTest.java","L17539","18","0","204","1","28","7","1345","0"
"L20568","ReadWriteCacheConcurrentTest.java","core/src/test/java/com/orientechnologies/orient/core/index/hashindex/local/arc/ReadWriteCacheConcurrentTest.java","L20567","32","0","236","1","28","6","1345","0"
"L37420","LinkSerializerTest.java","core/src/test/java/com/orientechnologies/orient/core/serialization/serializer/binary/impl/LinkSerializerTest.java","L37419","1","0","29","0","12","4","3122","0"
"L54974","ClusterPageTest.java","core/src/test/java/com/orientechnologies/orient/core/storage/impl/local/paginated/ClusterPageTest.java","L54973","27","0","865","2","27","7","1345","0"
"L54975","LocalPaginatedClusterTest.java","core/src/test/java/com/orientechnologies/orient/core/storage/impl/local/paginated/LocalPaginatedClusterTest.java","L54973","75","0","919","1","107","10","1345","0"
"L54976","LocalPaginatedClusterWithWAL.java","core/src/test/java/com/orientechnologies/orient/core/storage/impl/local/paginated/LocalPaginatedClusterWithWAL.java","L54973","20","0","359","1","84","9","1345","0"
"L54977","LocalPaginatedStorageRestoreFromWAL.java","core/src/test/java/com/orientechnologies/orient/core/storage/impl/local/paginated/LocalPaginatedStorageRestoreFromWAL.java","L54973","37","0","246","0","24","4","3122","0"
"L54978","LocalPaginatedStorageRestoreFromWALAndAddAdditionalRecords.java","core/src/test/java/com/orientechnologies/orient/core/storage/impl/local/paginated/LocalPaginatedStorageRestoreFromWALAndAddAdditionalRecords.java","L54973","30","0","258","0","13","4","3122","0"
"L54979","LocalPaginatedStorageRestoreTx.java","core/src/test/java/com/orientechnologies/orient/core/storage/impl/local/paginated/LocalPaginatedStorageRestoreTx.java","L54973","33","0","249","0","17","5","3122","0"
