@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L54977","37","0","246","0","24","4","3122","false"
"L54978","30","0","258","0","13","4","3122","false"
"L54979","33","0","249","0","17","5","3122","false"
"L56199","4","0","29","0","3","3","16","false"
"L56200","1","0","32","0","21","6","3122","false"
"L56201","10","0","204","1","8","4","327","false"
"L56202","21","0","203","0","4","3","3122","false"
"L56203","16","0","116","0","5","3","3122","false"
"L56204","42","0","1227","1","58","6","3122","false"
"L93083","6","0","44","0","13","6","327","false"
"L93084","1","0","4","0","6","4","17","false"
"L93085","1","0","15","0","12","6","327","false"
"L93086","11","0","48","0","14","6","327","false"
"L93087","1","0","14","0","12","6","327","false"
"L93088","1","0","15","0","12","6","327","false"
"L93089","14","0","154","2","9","4","17","false"
"L2689","3","0","23","0","203","11","3122","false"
"L2690","1","0","7","0","13","5","327","false"
"L2691","1","0","16","0","9","5","327","false"
"L2692","1","0","4","0","3","3","327","false"
"L2693","1","0","4","0","7","5","327","false"
"L2694","76","0","585","5","203","17","82","false"
"L2695","2","0","16","0","5","2","17","false"
"L2696","12","0","56","0","20","6","327","false"
"L86876","1","0","6","0","8","5","17","false"
"L86877","2","0","34","0","8","5","17","false"
"L86878","2","0","32","0","8","5","17","false"
"L86879","1","0","5","0","8","5","17","false"
"L86880","1","0","21","0","8","5","17","false"
"L86881","2","0","15","0","8","5","17","false"
"L86882","35","0","166","0","19","7","3122","false"
"L86883","156","0","484","0","15","5","3122","false"
"L86884","1","0","28","0","8","5","17","false"
"L86885","1","0","22","0","8","5","17","false"
"L86886","6","0","43","0","8","5","17","false"
"L86887","26","0","114","0","3","2","1345","false"
"L87321","4","0","18","0","8","5","17","false"
"L87322","1","0","7","0","8","5","17","false"
"L87323","4","0","26","0","8","5","17","false"
"L87324","6","0","21","0","16","7","3122","false"
"L87325","10","0","65","0","8","5","17","false"
"L87429","1","0","17","0","8","5","17","false"
"L87430","1","0","16","0","8","5","17","false"
"L88640","2","0","19","0","8","5","17","false"
"L88641","1","0","6","0","14","6","327","false"
"L88642","99","0","419","1","14","6","1345","false"
"L88643","1","0","8","0","6","5","113","false"
"L88644","1","0","7","0","8","5","17","false"
"L88645","57","0","202","0","14","6","327","false"
"L88646","1","0","30","0","14","6","327","false"
"L88647","100","0","416","0","15","7","3122","false"
"L89048","1","0","20","0","15","8","1345","false"
"L89049","1","0","33","1","11","5","1345","false"
"L89050","26","0","136","0","14","6","327","false"
"L89051","1","0","7","0","14","6","327","false"
"L89052","22","0","206","2","11","5","17","false"
"L89053","1","0","18","0","14","6","327","false"
"L89333","5","0","25","0","11","5","3122","false"
"L89343","7","0","59","0","6","5","113","false"
"L89344","1","0","18","0","8","5","17","false"
"L89345","2","0","22","0","8","5","17","false"
"L89419","17","0","98","0","8","5","17","false"
"L89454","33","0","151","0","18","7","3122","false"
"L89455","3","0","18","0","14","6","327","false"
"L89456","1","0","11","0","8","5","17","false"
"L89457","62","0","214","0","28","8","3122","false"
"L89458","3","0","13","0","8","5","17","false"
"L89602","4","0","34","0","8","5","17","false"
"L89603","1","0","6","0","8","5","17","false"
"L89627","6","0","61","0","21","7","3122","false"
"L89628","75","0","263","0","17","6","327","false"
"L89809","108","0","348","0","21","7","3122","false"
"L89810","16","0","98","0","8","5","17","false"
"L89811","92","0","272","0","19","6","327","false"
"L89812","4","0","25","0","12","5","17","false"
"L89813","9","0","34","0","15","7","327","false"
"L89814","1","0","4","0","8","5","17","false"
"L90031","23","0","280","0","44","9","3122","false"
"L90032","15","0","128","0","21","8","3122","false"
"L90033","4","0","58","0","13","8","3122","false"
"L90034","1","0","45","0","21","8","3122","false"
"L90358","45","0","161","0","8","5","17","false"
"L90419","1","0","13","0","8","5","17","false"
"L90420","3","0","20","0","8","5","17","false"
"L90421","9","0","122","0","8","5","17","false"
"L90422","25","0","186","1","10","5","17","false"
"L92165","6","0","42","0","8","5","17","false"
"L92197","1","0","23","0","8","5","17","false"
"L92198","7","0","69","0","15","7","327","false"
"L92245","4","0","20","0","8","5","17","false"
"L92246","1","0","16","0","4","4","327","false"
"L92247","4","0","76","0","8","5","17","false"
"L92248","4","0","75","0","5","4","3122","false"
"L92249","2","0","17","0","8","5","17","false"
"L92341","52","0","256","0","11","6","327","false"
"L92342","115","0","734","0","10","5","17","false"
"L92343","1","0","11","0","2","2","1345","false"
"L92344","17","0","69","0","8","5","17","false"
"L92345","9","0","68","0","18","6","327","false"
"L92346","1","0","4","0","8","5","17","false"
"L92347","2","0","23","0","17","7","1345","false"
"L92348","5","0","31","0","8","5","17","false"
"L92349","1","0","24","0","8","5","1345","false"
"L92350","8","0","39","0","8","5","17","false"
"L92351","10","0","69","0","8","5","17","false"
"L92352","1","0","15","0","5","4","1345","false"
"L92353","1","0","4","0","8","5","17","false"
"L92354","1","0","6","0","8","5","17","false"
"L92355","1","0","4","0","7","4","17","false"
"L92356","8","0","65","0","7","4","17","false"
"L2702","1","0","15","0","4","2","17","false"
"L2703","1","0","11","0","4","2","17","false"
"L2704","1","0","11","0","4","2","17","false"
"L2705","1","0","11","0","4","2","17","false"
"L2706","1","0","11","0","4","2","17","false"
"L2707","1","0","11","0","5","2","17","false"
"L2708","1","0","11","0","4","2","17","false"
"L2709","1","0","11","0","4","2","17","false"
"L2760","1","0","44","1","41","11","3122","false"
"L2761","6","0","64","0","54","9","3122","false"
"L2762","1","0","17","0","23","9","3122","false"
"L2763","1","0","4","0","6","3","17","false"
"L2764","1","0","7","0","13","5","17","false"
"L2765","1","0","4","0","6","3","17","false"
"L2766","6","0","56","0","19","8","327","false"
"L2767","5","0","40","1","46","11","3122","false"
"L2991","4","0","29","3","23","11","17","false"
"L2992","1","0","6","1","13","7","17","false"
"L2993","1","0","6","0","10","6","17","false"
"L2994","3","0","26","2","16","9","17","false"
"L2995","1","0","22","0","16","8","327","false"
"L3073","50","0","196","1","50","10","327","false"
"L3074","1","0","5","0","5","2","17","false"
"L3075","1","0","21","0","30","9","17","false"
"L3076","1","0","12","2","13","5","1345","false"
"L3077","1","0","18","1","31","8","327","false"
"L3078","4","0","87","1","60","10","1345","false"
"L3079","1","0","11","0","4","2","17","false"
"L3080","8","0","45","0","4","2","17","false"
"L3081","6","0","80","0","29","8","3122","false"
"L3082","1","0","4","0","4","2","17","false"
"L3083","1","0","6","0","10","4","3122","false"
"L3084","1","0","17","0","6","4","17","false"
"L3085","1","0","16","0","26","9","17","false"
"L3086","9","0","111","1","41","10","1345","false"
"L3087","1","0","6","0","7","3","17","false"
"L3088","1","0","12","0","18","4","17","false"
"L3089","1","0","6","1","22","8","17","false"
"L3090","25","0","137","2","48","10","17","false"
"L3091","1","0","5","0","6","2","17","false"
"L3092","1","0","5","0","14","7","327","false"
"L5460","1","0","8","0","14","8","17","false"
"L5461","3","0","34","0","21","8","17","false"
"L5806","1","0","4","0","4","2","17","false"
"L5807","11","0","65","1","24","7","17","false"
"L5808","38","0","524","14","547","20","1345","false"
"L5809","1","0","12","0","8","3","17","false"
"L5810","1","0","12","0","6","2","17","false"
"L5811","60","0","483","2","166","15","82","false"
"L5812","1","0","11","0","6","2","17","false"
"L5813","1","0","13","0","12","6","17","false"
"L5814","1","0","24","0","6","2","17","false"
"L5815","1","0","52","0","15","6","17","false"
"L5816","4","0","48","0","32","10","1345","false"
"L6673","2","0","28","1","10","4","1345","false"
"L6674","3","0","39","1","16","5","1345","false"
"L6675","1","0","9","0","10","6","3122","false"
"L6676","1","0","16","0","3","2","17","false"
"L6677","2","0","26","0","10","5","1345","false"
"L6791","1","0","140","3","132","17","1345","false"
"L6792","1","0","13","0","7","5","327","false"
"L6793","14","0","76","3","36","10","327","false"
"L6794","1","0","15","0","14","5","327","false"
"L6795","1","0","13","0","22","6","17","false"
"L6796","1","0","17","0","13","6","3122","false"
"L6797","30","0","270","2","89","14","3122","false"
"L6798","13","0","113","2","54","11","327","false"
"L6799","1","0","6","0","7","2","17","false"
"L6800","12","0","41","0","4","2","17","false"
"L6801","4","0","57","0","34","7","3122","false"
"L6802","14","0","400","1","168","13","1345","false"
"L6803","1","0","6","1","15","6","327","false"
"L6804","1","0","4","0","7","5","327","false"
"L6805","3","0","248","0","123","16","327","false"
"L6806","1","0","28","0","15","5","327","false"
"L6807","32","0","237","0","37","8","561","false"
"L6808","15","0","115","0","18","6","327","false"
"L6809","10","0","68","0","23","6","3122","false"
"L6810","1","0","11","0","15","3","17","false"
"L15306","4","0","42","0","18","5","3122","false"
"L15342","1","0","10","0","6","1","3122","false"
"L15343","3","0","17","0","4","1","3122","false"
"L15414","23","0","71","0","22","6","3122","false"
"L15415","21","0","142","0","48","11","327","false"
"L15416","5","0","54","0","11","4","3122","false"
"L15417","1","0","4","0","4","1","3122","false"
"L15596","1","0","9","0","5","3","3122","false"
"L15597","1","0","11","0","3","1","3122","false"
"L15598","11","0","80","0","27","5","1345","false"
"L15599","1","0","11","0","3","1","3122","false"
"L15600","1","0","11","0","3","1","3122","false"
"L15601","1","0","20","0","3","1","3122","false"
"L15602","1","0","11","0","1","0","0","false"
"L15603","1","0","11","0","3","1","3122","false"
"L15604","1","0","9","0","9","5","327","false"
"L15605","1","0","7","0","12","4","327","false"
"L15606","4","0","45","0","8","2","327","false"
"L15607","1","0","11","0","3","1","3122","false"
"L15608","1","0","11","0","3","1","3122","false"
"L15609","1","0","19","0","6","1","3122","false"
"L15610","1","0","11","0","5","1","3122","false"
"L15611","1","0","11","0","3","1","3122","false"
"L15612","1","0","11","0","3","1","3122","false"
"L15613","1","0","10","0","2","1","3122","false"
"L15614","1","0","10","0","2","1","3122","false"
"L15615","1","0","11","0","3","1","3122","false"
"L15616","1","0","11","0","6","3","1345","false"
"L15807","1","0","27","0","11","6","561","false"
"L15808","143","0","456","8","132","13","327","false"
"L15809","1","0","20","0","15","5","327","false"
"L15810","57","0","147","0","25","7","1345","false"
"L16518","33","0","163","0","42","8","1345","false"
"L16519","2","0","38","0","17","4","327","false"
"L16520","1","0","21","0","27","7","327","false"
"L16521","19","0","122","0","25","6","3122","false"
"L16760","1","0","15","0","2","2","1345","false"
"L16761","1","0","37","0","10","4","327","false"
"L16762","29","0","244","1","92","12","1345","false"
"L16763","1","0","24","0","20","3","327","false"
"L16898","9","0","57","2","17","6","3122","false"
"L16899","9","0","50","1","10","2","3122","false"
"L16900","1","0","6","0","8","6","3122","false"
"L16901","1","0","6","0","8","6","3122","false"
"L16902","119","0","499","1","111","12","327","false"
"L16903","9","0","64","0","3","3","327","false"
"L16904","54","0","381","3","41","9","3122","false"
"L16905","20","0","104","0","12","7","327","false"
"L16906","14","0","88","3","50","9","3122","false"
"L16907","1","0","52","7","104","11","1345","false"
"L16908","92","0","834","14","148","12","3122","false"
"L16909","6","0","67","1","16","7","327","false"
"L16910","7","0","168","7","90","12","327","false"
"L16911","1","0","5","0","2","0","0","false"
"L16912","1","0","12","2","16","7","327","false"
"L16913","5","0","50","0","11","6","327","false"
"L16914","3","0","44","0","11","6","327","false"
"L16915","1","0","25","1","29","6","3122","false"
"L16916","33","0","123","2","21","8","3122","false"
"L16917","1","0","8","0","11","4","327","false"
"L16918","3","0","47","2","54","11","3122","false"
"L16919","1","0","41","7","46","10","3122","false"
"L16920","1","0","10","0","2","2","1345","false"
"L16921","15","0","93","1","35","9","3122","false"
"L16922","1","0","11","0","3","0","0","false"
"L16923","1","0","12","1","38","8","3122","false"
"L16924","34","0","225","4","102","14","3122","false"
"L16925","13","0","104","2","67","10","3122","false"
"L16926","1","0","6","0","13","6","327","false"
"L16927","1","0","45","4","71","9","1345","false"
"L16928","51","0","404","7","121","13","3122","false"
"L16929","2","0","125","4","58","9","327","false"
"L16930","10","0","112","2","70","11","327","false"
"L16931","72","0","408","10","141","12","3122","false"
"L16932","26","0","296","8","151","16","3122","false"
"L16933","1","0","16","0","36","6","3122","false"
"L16934","13","0","195","5","92","12","327","false"
"L16935","7","0","49","0","15","5","8","false"
"L16936","22","0","353","8","108","12","327","false"
"L16937","5","0","68","0","24","7","561","false"
"L16938","5","0","53","0","22","7","561","false"
"L16939","44","0","189","2","38","9","327","false"
"L16940","1","0","13","0","7","4","327","false"
"L16941","78","0","380","1","37","9","327","false"
"L16942","58","0","302","3","48","9","3122","false"
"L16943","9","0","67","3","81","12","3122","false"
"L16944","1","0","15","0","7","5","8","false"
"L16945","14","0","142","3","35","7","3122","false"
"L16946","8","0","69","1","11","2","3122","false"
"L16947","22","0","152","1","10","2","3122","false"
"L16948","7","0","65","1","21","8","3122","false"
"L16949","7","0","115","1","33","7","3122","false"
"L16950","26","0","160","1","42","9","3122","false"
"L28223","1","0","7","0","10","3","327","false"
"L28224","22","0","120","0","56","8","3122","false"
"L28225","1","0","13","0","10","3","327","false"
"L28226","7","0","41","0","14","4","327","false"
"L28303","1","0","15","0","6","2","8","false"
"L28304","1","0","14","0","3","2","8","false"
"L28305","51","0","253","1","53","12","1345","false"
"L28306","1","0","11","0","2","0","0","false"
"L28307","14","0","91","0","20","8","3122","false"
"L28308","11","0","91","2","70","13","1345","false"
"L28309","1","0","29","1","13","6","1345","false"
"L28310","30","0","165","2","73","10","1345","false"
"L28311","70","0","264","3","56","11","1345","false"
"L28790","1","0","10","0","2","0","0","false"
"L28799","1","0","19","0","87","8","3122","false"
"L28800","23","0","195","0","45","11","3122","false"
"L28801","1","0","7","0","4","4","327","false"
"L33619","10","0","90","0","9","4","3122","false"
"L33620","1","0","16","0","2","1","3122","false"
"L33621","1","0","8","0","8","4","16","false"
"L33622","2","0","17","0","7","4","16","false"
"L34172","1","0","8","0","11","0","0","false"
"L34173","3","0","30","0","31","4","16","false"
"L34174","1","0","12","0","3","0","0","false"
"L34175","15","0","32","0","17","2","3122","false"
"L34176","4","0","39","0","12","4","3122","false"
"L34377","1","0","5","0","13","6","327","false"
"L34378","1","0","35","1","73","8","1345","false"
"L34379","48","0","374","2","191","12","1345","false"
"L34380","7","0","73","0","10","4","327","false"
"L34381","1","0","66","1","44","8","3122","false"
"L34382","1","0","7","0","11","5","561","false"
"L34383","1","0","9","0","2","2","3122","false"
"L34384","1","0","20","0","26","5","561","false"
"L34385","1","0","5","0","3","0","0","false"
"L36508","19","0","157","1","49","10","1345","false"
"L36509","1","0","14","1","16","7","327","false"
"L36510","6","0","61","0","12","6","327","false"
"L36511","1","0","37","0","13","7","327","false"
"L36512","11","0","74","1","26","9","1345","false"
"L36653","14","0","117","0","10","1","3122","false"
"L36752","130","0","916","1","27","7","1345","false"
"L36753","15","0","191","1","16","2","561","false"
"L36754","1","0","7","0","12","5","327","false"
"L36755","15","0","155","1","16","3","3122","false"
"L36756","30","0","306","1","16","3","3122","false"
"L36757","1","0","7","0","6","0","0","false"
"L39950","44","0","424","14","70","9","3122","false"
"L39951","28","0","163","2","109","14","82","false"
"L39952","24","0","107","6","65","9","1345","false"
"L39953","18","0","108","1","36","6","1345","false"
"L39954","10","0","69","2","36","6","1345","false"
"L39955","15","0","86","2","33","6","1345","false"
"L39956","26","0","127","3","59","7","1345","false"
"L39957","9","0","61","1","40","9","1345","false"
"L39958","13","0","73","0","24","7","1345","false"
"L39959","48","0","234","3","86","10","1345","false"
"L39960","60","0","226","0","48","6","3122","false"
"L39961","18","0","100","2","39","5","1345","false"
"L39962","8","0","83","1","43","6","1345","false"
"L39963","52","0","251","6","101","10","1345","false"
"L39964","19","0","94","4","62","10","1345","false"
"L39965","14","0","70","1","19","5","1345","false"
"L39966","9","0","58","1","29","4","1345","false"
"L39967","19","0","110","2","35","6","1345","false"
"L39968","3","0","21","0","4","3","2","false"
"L39969","4","0","42","0","12","3","1345","false"
"L39970","1","0","7","0","3","0","0","false"
"L39971","11","0","67","1","23","4","3122","false"
"L39972","12","0","54","0","18","4","3122","false"
"L39973","2","0","36","0","18","4","1345","false"
"L39974","65","0","309","3","116","11","3122","false"
"L39975","28","0","160","1","9","4","3122","false"
"L39976","5","0","67","1","7","4","1345","false"
"L39977","7","0","30","0","6","2","1345","false"
"L39978","12","0","61","1","23","5","3122","false"
"L39979","105","0","436","7","159","14","1345","false"
"L39980","1","0","21","0","8","4","3122","false"
"L39981","2","0","14","0","3","1","3122","false"
"L39982","12","0","56","0","21","4","3122","false"
"L39983","510","0","1861","39","559","22","327","false"
"L39984","39","0","141","0","22","6","1345","false"
"L39985","6","0","32","0","5","2","3122","false"
"L39986","32","0","180","3","62","10","3122","false"
"L39987","24","0","106","1","25","5","1345","false"
"L39988","9","0","61","2","26","4","1345","false"
"L39989","11","0","70","1","31","5","1345","false"
"L39990","173","0","587","12","198","13","1345","false"
"L39991","3","0","38","0","6","3","3122","false"
"L39992","1","0","17","0","14","3","3122","false"
"L39993","3","0","39","0","7","1","327","false"
"L39994","1","0","9","0","2","0","0","false"
"L39995","3","0","75","0","30","6","3122","false"
"L39996","6","0","57","0","9","4","1","false"
"L39997","38","0","167","1","16","6","3122","false"
"L39998","25","0","122","0","18","6","3122","false"
"L39999","26","0","105","2","23","6","3122","false"
"L40000","1","0","7","0","9","5","3122","false"
"L40001","5","0","36","0","4","4","3122","false"
"L40002","7","0","42","2","15","5","3122","false"
"L40003","6","0","27","1","12","4","3122","false"
"L40004","1","0","19","1","10","4","3122","false"
"L40005","1","0","20","1","10","4","3122","false"
"L40006","3","0","41","2","14","5","3122","false"
"L40007","1","0","8","1","10","4","3122","false"
"L40008","52","0","175","0","41","8","3122","false"
"L40009","69","0","370","2","83","10","3122","false"
"L40010","82","0","252","5","144","14","1345","false"
"L40011","3","0","77","0","11","7","1345","false"
"L40012","2","0","65","0","1","0","0","false"
"L40013","1","0","19","1","10","4","3122","false"
"L40014","1","0","6","0","4","2","3122","false"
"L53505","1","0","5","0","9","3","3122","false"
"L53506","1","0","54","1","75","8","1345","false"
"L53507","8","0","53","0","15","7","3122","false"
"L53508","1","0","4","0","5","3","3122","false"
"L53509","8","0","102","0","33","5","3122","false"
"L53510","1","0","36","0","14","3","561","false"
"L53511","1","0","8","0","3","0","0","false"
"L53512","3","0","27","2","24","7","3122","false"
"L53513","1","0","17","0","1","1","1345","false"
"L53514","1","0","105","3","164","13","1345","false"
"L53515","22","0","168","2","126","7","3122","false"
"L53516","3","0","54","1","10","5","3122","false"
"L53517","1","0","4","0","5","2","3122","false"
"L59144","1","0","15","1","9","4","3122","false"
"L59145","1","0","74","8","89","9","1345","false"
"L59146","34","0","156","4","76","8","1345","false"
"L59147","3","0","47","2","21","3","3122","false"
"L59148","4","0","39","0","5","1","3122","false"
"L59149","1","0","6","0","3","2","327","false"
"L59150","20","0","194","8","96","7","1345","false"
"L59151","115","0","483","8","256","13","1345","false"
"L59152","71","0","312","5","102","7","3122","false"
"L59153","1","0","8","0","5","0","0","false"
"L59755","9","0","50","1","5","4","561","false"
"L59756","9","0","95","0","16","2","6","false"
"L59757","1","0","53","0","9","0","0","false"
"L61271","1","0","15","0","13","3","3122","false"
"L61272","11","0","53","0","12","5","3122","false"
"L61273","5","0","21","0","6","3","3122","false"
"L61322","1","0","48","0","19","5","3122","false"
"L61323","10","0","226","0","13","4","3122","false"
"L61324","2","0","27","0","11","4","3122","false"
"L87433","1","0","13","0","8","5","17","false"
"L87434","22","0","132","0","10","5","17","false"
"L87435","17","0","89","0","6","4","1345","false"
"L87436","3","0","25","0","8","5","17","false"
"L87437","1","0","7","0","14","6","327","false"
"L87438","1","0","8","0","8","5","17","false"
"L87439","1","0","11","0","8","5","17","false"
"L87440","19","0","132","1","16","6","3122","false"
"L87441","8","0","55","0","18","6","327","false"
"L87442","1","0","16","0","8","5","17","false"
"L87443","37","0","316","0","22","6","327","false"
"L87444","20","0","137","0","39","7","3122","false"
"L87445","3","0","25","0","8","5","17","false"
"L87446","1","0","13","0","8","5","17","false"
