@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L33314","0","0","0","0","0","0","0","0","2","1","1","4","1","1","3","2","5","0.333333","0.166667","3","3","1","2","0.166667","3","0","0","0","0","0","15","20","0","0","0","0","3","0","2","0","3","4","0","2","0","15","20","0","0","0","0","3","0","2","0","3","4","0","2","0","0","1","8","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L33327","0","0","0","0","0","0","0","0","1","3","2","16","4","2","2","8","13","0","0.0909091","5","0","0","6","0.0909091","5","0","0","0","0","0","50","63","1","0","1","0","5","0","5","0","5","25","0","5","0","50","63","1","0","1","0","5","0","5","0","5","25","0","5","0","0","6","11","0","7","0","0","0","0","0","0","0","0","0","1","0","0","7","11","0","0","0","0","1","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L61520","0.93125","3","30","6","0.866667","0.897959","91","88","3","1","1","20","7","0","0","11","14","0","0","0","0","0","4","0","0","0","0","0","0","0","98","105","0","0","0","0","3","0","3","0","3","53","0","3","0","98","105","0","0","0","0","3","0","3","0","3","53","0","3","0","0","17","31","1","0","0","17","0","0","19","0","1","0","0","0","2","0","0","9","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","false"
"L65942","0","0","0","0","0","0","0","0","2","2","2","18","6","16","10","3","11","0.111111","0.0483871","3","3","1","8","0.0483871","3","0","0","0","0","0","59","72","6","3","6","3","8","6","8","0","8","26","6","8","0","59","72","6","3","6","3","8","6","8","0","8","26","6","8","0","0","0","23","0","15","0","0","10","0","0","0","1","0","0","0","0","0","5","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","false"
"L69442","0","0","0","0","0","0","0","0","2","6","6","63","20","12","17","31","47","0.470588","0.216117","59","50","8","9","0.210714","59","0","0","0","0","0","214","326","3","4","3","4","16","0","16","0","16","127","0","16","0","221","334","3","5","3","5","18","0","18","0","18","129","0","18","0","0","1","41","5","53","0","1","16","0","0","0","1","0","6","0","2","0","35","31","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","5","0","0","0","0","false"
"L58055","0.05875","2","10","3","0.0489845","0.0543131","41","34","2","7","7","184","61","77","92","92","144","0.0454545","0.082963","56","19","2","42","0.0817518","56","0","0","0","0","0","619","827","23","18","23","18","52","0","43","2","52","383","0","43","2","629","837","23","19","23","19","53","0","44","2","53","389","0","44","2","0","10","161","10","230","0","2","108","0","19","0","1","0","14","0","8","0","118","108","1","0","0","0","0","0","0","14","0","0","0","0","0","0","0","1","0","11","6","1","0","0","0","false"
"L69801","0","0","0","0","0","0","0","0","1","0","0","4","1","15","15","4","8","0","0","0","0","0","5","0","0","0","0","0","0","0","18","22","1","0","1","0","4","0","4","0","4","7","0","4","0","18","22","1","0","1","0","4","0","4","0","4","7","0","4","0","0","0","11","3","8","0","0","0","0","0","0","0","0","0","0","0","0","8","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","false"
"L69525","0","0","0","0","0","0","0","0","2","3","3","7","2","1","3","3","6","0.333333","0.142857","4","3","1","2","0.142857","4","0","0","0","0","0","24","31","1","0","1","0","3","0","2","0","3","9","0","2","0","24","31","1","0","1","0","3","0","2","0","3","9","0","2","0","0","1","8","0","3","0","2","2","0","0","0","1","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L69817","0","0","0","0","0","0","0","0","1","5","5","23","15","0","0","17","21","0.25","0.117021","11","6","1","3","0.117021","11","0","0","0","0","0","83","102","7","0","7","0","4","3","3","0","4","50","3","3","0","83","102","7","0","7","0","4","3","3","0","4","50","3","3","0","0","3","21","2","23","0","0","6","0","0","0","0","0","3","0","2","0","16","11","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","5","2","0","0","0","0","false"
"L70518","0","0","0","0","0","0","0","0","1","1","1","2","1","2","2","2","3","0.5","0.214286","3","3","1","1","0.214286","3","0","0","0","0","0","11","11","0","0","0","0","1","0","1","0","1","4","0","1","0","11","11","0","0","0","0","1","0","1","0","1","4","0","1","0","0","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","false"
"L73444","0.341085","1","3","1","0.295455","0.323529","13","11","1","1","1","7","4","1","0","3","7","0.2","0.138889","5","5","1","4","0.128205","5","0","0","1","1","0","31","41","1","2","1","2","4","0","4","0","4","16","0","4","0","34","44","4","2","4","2","4","3","4","0","4","16","3","4","0","0","2","24","1","8","0","1","4","0","11","0","0","0","0","0","0","0","5","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","false"
"L73360","0.732877","2","5","2","0.520833","0.578947","25","22","1","1","1","8","3","3","1","3","7","0.2","0.125","5","5","1","4","0.116279","5","0","0","1","1","0","35","45","1","2","1","2","4","0","4","0","4","19","0","4","0","38","48","4","2","4","2","4","3","4","0","4","19","3","4","0","0","3","30","1","12","0","1","4","0","17","0","0","0","0","0","0","0","10","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","false"
"L73872","0.384058","1","2","2","0.37037","0.393939","30","26","1","1","1","7","8","0","0","12","19","0","0","0","0","0","4","0","0","0","0","0","0","0","66","81","1","0","1","0","7","0","3","0","7","40","0","3","0","66","81","1","0","1","0","7","0","3","0","7","40","0","3","0","0","1","34","3","10","0","0","0","0","17","0","0","0","0","0","0","0","6","17","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","false"
"L73896","0.195313","1","2","2","0.151515","0.171429","20","18","1","0","0","14","7","0","0","10","24","0","0","0","0","0","15","0","0","0","0","0","0","0","105","132","1","0","1","0","14","0","14","0","14","60","0","14","0","105","132","1","0","1","0","14","0","14","0","14","60","0","14","0","0","0","46","1","0","0","0","0","0","15","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","false"
"L73918","0.127193","1","4","2","0.117117","0.125","26","24","1","1","1","22","16","0","0","18","30","0.0769231","0.0253807","5","5","1","12","0.0253807","5","0","0","0","0","0","192","222","3","0","3","0","12","0","12","0","12","86","0","12","0","192","222","3","0","3","0","12","0","12","0","12","86","0","12","0","0","10","46","8","4","0","10","0","0","14","0","0","0","0","0","7","0","0","25","10","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","3","5","0","0","0","false"
"L78355","0","0","0","0","0","0","0","0","1","0","0","1","13","0","0","12","13","0","0.227273","5","0","0","2","0.0746269","5","0","0","0","0","0","17","29","0","0","0","0","1","0","1","0","1","8","0","1","0","62","84","3","3","3","3","11","0","11","3","11","20","0","11","3","0","0","36","1","1","0","0","0","0","0","0","1","0","0","0","2","0","1","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","false"
"L78417","0.540541","1","6","2","0.47619","0.540541","20","20","1","2","2","10","0","1","1","0","4","0.2","0.097561","4","4","1","4","0.097561","4","0","0","0","0","0","37","42","2","0","2","0","4","0","4","0","4","14","0","4","0","37","42","2","0","2","0","4","0","4","0","4","14","0","4","0","0","0","28","2","0","0","0","0","0","17","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L78438","0","0","0","0","0","0","0","0","2","3","3","13","3","4","8","2","9","0.333333","0.0677966","4","4","1","2","0.0677966","4","0","0","0","0","0","55","67","2","0","2","0","7","0","2","0","7","30","0","2","0","55","67","2","0","2","0","7","0","2","0","7","30","0","2","0","0","0","18","2","1","0","0","0","0","0","0","1","0","0","0","0","0","2","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","false"
"L78489","0","0","0","0","0","0","0","0","1","0","0","2","2","2","3","2","4","0.333333","0.333333","5","5","1","2","0.333333","5","0","0","0","0","0","10","13","1","0","1","0","2","0","2","0","2","3","0","2","0","10","13","1","0","1","0","2","0","2","0","2","3","0","2","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","false"
"L71897","0.0573941","4","18","8","0.0640216","0.0614943","142","107","6","11","10","404","84","4","10","207","345","0.107143","0.032796","59","31","12","100","0.0325607","59","2","4","1","1","3","1740","2205","26","18","13","11","138","0","111","3","171","1067","0","122","4","1753","2218","26","18","13","11","142","0","115","3","175","1071","0","126","4","0","21","384","43","214","0","9","162","0","54","0","1","0","17","1","9","0","66","281","8","0","0","1","1","0","0","0","0","0","0","0","0","0","2","1","0","21","11","23","0","2","0","false"
"L86400","0","0","0","0","0","0","0","0","12","0","0","15","5","1","1","1","14","0","0","0","0","0","14","0","0","1","1","0","0","1","35","50","1","0","1","0","13","0","13","0","13","3","0","13","0","35","50","1","0","1","0","13","0","13","0","13","3","0","13","0","0","2","30","0","12","0","0","0","0","0","0","1","0","0","1","0","0","13","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L86345","0","0","0","0","0","0","0","0","5","1","1","10","1","1","6","2","9","0","0","0","0","0","3","0","0","1","1","1","2","1","34","42","13","7","0","0","7","0","2","0","33","13","0","11","1","34","42","13","7","0","0","7","0","2","0","33","13","0","11","1","0","0","18","1","8","0","1","4","0","0","0","1","0","0","0","0","0","4","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","false"
"L86723","0","0","0","0","0","0","0","0","1","7","4","69","14","1","2","15","26","0","0.0960699","22","7","0","7","0.0948276","22","0","0","0","0","0","207","282","6","3","6","3","11","0","6","1","11","153","0","6","1","210","286","6","3","6","3","12","0","7","1","12","154","0","7","1","0","2","39","3","60","0","0","53","0","0","0","0","0","7","0","1","0","9","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","false"
"L86896","0","0","0","0","0","0","0","0","3","1","1","7","1","2","2","0","6","0.285714","0.25","10","10","2","5","0.25","10","1","1","0","0","1","30","42","2","0","2","0","6","0","6","0","6","9","0","6","0","30","42","2","0","2","0","6","0","6","0","6","9","0","6","0","0","0","12","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","false"
"L86913","0","0","0","0","0","0","0","0","1","0","0","2","1","2","2","0","2","0.666667","0.47619","10","10","2","1","0.548387","34","0","0","0","0","0","11","20","2","0","2","0","2","0","2","0","2","3","0","2","0","28","64","3","0","3","0","5","0","5","0","5","8","0","5","0","0","0","5","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","false"
"L11134","0","0","0","0","0","0","0","0","1","0","0","5","1","1","1","0","5","0.166667","0.24","6","6","1","5","0.24","6","1","1","0","0","1","19","24","1","0","1","0","5","0","5","0","5","6","0","5","0","19","24","1","0","1","0","5","0","5","0","5","6","0","5","0","0","0","13","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L60108","0","0","0","0","0","0","0","0","1","0","0","3","0","2","1","0","2","0.5","0.294118","5","5","1","1","0.294118","5","0","0","1","1","0","12","14","1","0","1","0","2","0","1","0","2","3","0","1","0","12","14","1","0","1","0","2","0","1","0","2","3","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L16139","0","0","0","0","0","0","0","0","3","8","6","52","5","12","13","5","23","0.0555556","0.0429448","7","5","1","17","0.0429448","7","1","3","0","0","3","156","190","7","2","7","2","18","0","17","3","18","91","0","17","3","156","190","7","2","7","2","18","0","17","3","18","91","0","17","3","0","2","50","0","36","0","0","31","0","0","0","1","0","7","0","0","0","4","39","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","2","0","2","0","0","0","0","0","false"
"L87028","0.063253","1","4","2","0.0764706","0.0978723","52","46","5","9","7","177","8","61","82","11","33","0.6","0.204301","114","88","12","8","0.19322","114","0","0","0","0","0","444","642","0","6","0","6","22","0","19","0","22","342","0","19","0","476","680","0","6","0","6","30","0","27","0","30","350","0","27","0","0","2","150","4","121","0","1","105","0","66","0","3","0","15","0","0","0","16","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","3","0","1","0","0","false"
